iter	Logloss
0	0.6009689117
1	0.5242402076
2	0.4621808122
3	0.4042462978
4	0.3553750179
5	0.3203815939
6	0.2794450636
7	0.2469889589
8	0.2211742151
9	0.1955866077
10	0.1745758885
11	0.1551193419
12	0.1415312384
13	0.1260278532
14	0.1173652914
15	0.1086734908
16	0.09741163157
17	0.08832408678
18	0.08023528807
19	0.07386354638
20	0.06670267698
21	0.0608008722
22	0.05630413207
23	0.05258089708
24	0.0482946056
25	0.04535692042
26	0.04091020102
27	0.03774192372
28	0.03454985237
29	0.03277256851
30	0.03025486088
31	0.02833337965
32	0.0273091386
33	0.02536919188
34	0.02403269615
35	0.02264775816
36	0.02117906547
37	0.01997904597
38	0.01895617728
39	0.01795339326
40	0.01708138151
41	0.01619175327
42	0.01538600314
43	0.01456954744
44	0.01392513691
45	0.01337785902
46	0.01283016373
47	0.01223867566
48	0.01165754491
49	0.01125324128
50	0.01075783396
51	0.01041747755
52	0.01010414514
53	0.00979318916
54	0.009373792142
55	0.009089702513
56	0.008818112738
57	0.008476402701
58	0.008223945855
59	0.008035860734
60	0.007757733508
61	0.007517221497
62	0.007168194789
63	0.006975340649
64	0.006799185502
65	0.006630654581
66	0.006410470177
67	0.006227165703
68	0.006045672952
69	0.005922519095
70	0.005788671292
71	0.00569516598
72	0.005526659611
73	0.005391486615
74	0.005264119404
75	0.005066779894
76	0.004967594211
77	0.004898296139
78	0.0047926948
79	0.004675931724
80	0.004579049139
81	0.004492182073
82	0.00442474709
83	0.004314736622
84	0.004238232688
85	0.004194497416
86	0.004102105694
87	0.004036120929
88	0.003957776842
89	0.003916172477
90	0.00385337858
91	0.003795833122
92	0.003723392965
93	0.00367518686
94	0.003608670015
95	0.003546279943
96	0.003500953599
97	0.003426849681
98	0.003369074204
99	0.003313441587
