timestamp,temperature,pressure,vibration,humidity,current,anomaly
2024-01-04 00:00:00,68.71,101.786,0.0149,50.9,4.815,0
2024-01-04 00:10:00,68.02,101.559,0.0542,49.4,4.393,0
2024-01-04 00:20:00,67.09,100.815,0.3796,58.4,4.809,0
2024-01-04 00:30:00,67.23,100.624,0.0071,56.2,5.332,0
2024-01-04 00:40:00,70.24,100.721,0.3411,49.0,5.008,0
2024-01-04 00:50:00,68.44,100.936,0.8632,54.3,4.719,0
2024-01-04 01:00:00,88.72,101.76,7.6964,49.0,4.984,1
2024-01-04 01:10:00,68.26,101.053,0.6511,47.3,4.756,0
2024-01-04 01:20:00,69.35,101.236,0.0967,56.1,4.658,0
2024-01-04 01:30:00,71.99,101.502,0.1796,45.2,4.851,0
2024-01-04 01:40:00,67.97,100.098,0.1361,55.7,4.942,0
2024-01-04 01:50:00,67.08,101.253,0.1464,51.0,4.6,0
2024-01-04 02:00:00,71.02,100.623,0.4851,51.2,4.741,0
2024-01-04 02:10:00,68.6,99.29,0.8163,53.6,4.96,0
2024-01-04 02:20:00,69.68,99.523,0.1901,54.3,4.894,0
2024-01-04 02:30:00,69.12,100.189,0.0047,48.7,5.048,0
2024-01-04 02:40:00,70.25,101.119,0.1439,54.9,4.768,0
2024-01-04 02:50:00,68.9,100.868,0.3193,52.5,5.123,0
2024-01-04 03:00:00,69.93,100.911,0.107,47.0,4.79,0
2024-01-04 03:10:00,70.79,101.971,0.1912,51.3,5.306,0
2024-01-04 03:20:00,69.15,100.039,0.758,57.5,4.708,0
2024-01-04 03:30:00,69.62,100.784,0.1236,58.7,4.827,0
2024-01-04 03:40:00,70.14,100.983,0.2805,54.9,5.104,0
2024-01-04 03:50:00,68.94,100.358,0.3094,47.2,5.333,0
2024-01-04 04:00:00,70.24,100.817,0.8041,54.0,5.095,0
2024-01-04 04:10:00,70.98,99.84,0.2164,55.4,5.143,0
2024-01-04 04:20:00,70.44,101.646,0.3585,54.9,5.048,0
2024-01-04 04:30:00,70.68,100.391,0.1784,55.1,4.862,0
2024-01-04 04:40:00,71.07,102.019,0.1942,53.5,4.961,0
2024-01-04 04:50:00,70.38,100.781,2.0285,51.7,4.832,0
2024-01-04 05:00:00,72.07,101.417,0.2946,49.6,4.82,0
2024-01-04 05:10:00,73.04,100.768,1.649,44.4,5.122,0
2024-01-04 05:20:00,70.83,100.782,0.2488,53.4,4.846,0
2024-01-04 05:30:00,72.03,100.45,0.0215,52.7,5.104,0
2024-01-04 05:40:00,71.22,100.871,0.0451,54.2,4.81,0
2024-01-04 05:50:00,72.01,100.991,0.0164,46.6,5.094,0
2024-01-04 06:00:00,73.5,100.329,0.4516,54.6,4.949,0
2024-01-04 06:10:00,72.29,100.725,0.3559,60.2,5.286,0
2024-01-04 06:20:00,87.6,100.434,7.1286,52.3,5.086,1
2024-01-04 06:30:00,72.31,102.18,0.5485,51.8,5.244,0
2024-01-04 06:40:00,73.29,100.746,0.7178,53.2,4.88,0
2024-01-04 06:50:00,71.58,101.727,0.3552,60.1,5.019,0
2024-01-04 07:00:00,73.07,100.683,0.2398,47.9,4.825,0
2024-01-04 07:10:00,71.08,100.956,0.1791,52.8,4.919,0
2024-01-04 07:20:00,70.15,100.007,0.1019,48.8,4.937,0
